,unit_name1,name_length
0,Aata,4
1,Abax,4
2,Abra,4
3,Acar,4
4,Acca,4
5,Acer,4
6,Acis,4
7,Adia,4
8,Aega,4
9,Agfa,4
10,Agna,4
11,Agra,4
12,Ahua,4
13,Aira,4
14,Akko,4
15,Alca,4
16,Alia,4
17,Alle,4
18,Alma,4
19,Aloe,4
20,Amia,4
21,Ammi,4
22,Anas,4
23,Anax,4
24,Ania,4
25,Anna,4
26,Anoa,4
27,Aola,4
28,Aops,4
29,Aora,4
30,Aper,4
31,Apis,4
32,Apus,4
33,Apus,4
34,Apus,4
35,Apus,4
36,Arca,4
37,Arge,4
38,Arum,4
39,Asca,4
40,Asio,4
41,Asra,4
42,Assa,4
43,Atta,4
44,Atya,4
45,Atys,4
46,Auta,4
47,Axia,4
48,Axia,4
49,Axis,4
50,Axos,4
51,Azya,4
52,Bako,4
53,Basa,4
54,Bero,4
55,Besa,4
56,Beta,4
57,Bias,4
58,Bifa,4
59,Bixa,4
60,Blix,4
61,Boca,4
62,Bodo,4
63,Boea,4
64,Brya,4
65,Bryx,4
66,Bubo,4
67,Bufo,4
68,Bufo,4
69,Bura,4
70,Buro,4
71,Byas,4
72,Ceto,4
73,Ceyx,4
74,Chen,4
75,Clio,4
76,Coix,4
77,Cola,4
78,Copa,4
79,Cora,4
80,Cosa,4
81,Cota,4
82,Coua,4
83,Crax,4
84,Crex,4
85,Cuca,4
86,Cuna,4
87,Cuon,4
88,Cupa,4
89,Cura,4
90,Cyra,4
91,Daku,4
92,Dama,4
93,Dama,4
94,Daya,4
95,Daya,4
96,Daza,4
97,Dero,4
98,Deto,4
99,Dina,4
100,Dion,4
101,Disa,4
102,Dixa,4
103,Doru,4
104,Doto,4
105,Dros,4
106,Duta,4
107,Duva,4
108,Ecto,4
109,Edia,4
110,Egea,4
111,Egle,4
112,Eira,4
113,Elga,4
114,Emex,4
115,Emia,4
116,Emma,4
117,Emys,4
118,Enna,4
119,Enyo,4
120,Eone,4
121,Erga,4
122,Eria,4
123,Eris,4
124,Eros,4
125,Eryx,4
126,Esox,4
127,Etia,4
128,Euso,4
129,Evax,4
130,Evea,4
131,Exix,4
132,Faba,4
133,Fala,4
134,Feea,4
135,Feia,4
136,Fota,4
137,Fugu,4
138,Fusa,4
139,Gaga,4
140,Gale,4
141,Gari,4
142,Garo,4
143,Gaza,4
144,Geum,4
145,Gila,4
146,Gint,4
147,Glis,4
148,Glis,4
149,Goes,4
150,Grus,4
151,Gulo,4
152,Guyu,4
153,Gyge,4
154,Gyna,4
155,Gyps,4
156,Hada,4
157,Haga,4
158,Hala,4
159,Hara,4
160,Hebe,4
161,Here,4
162,Hero,4
163,Heza,4
164,Hime,4
165,Hito,4
166,Hoia,4
167,Homo,4
168,Hong,4
169,Hora,4
170,Hoya,4
171,Huia,4
172,Huka,4
173,Hura,4
174,Huso,4
175,Hyas,4
176,Hyas,4
177,Hyla,4
178,Iago,4
179,Iais,4
180,Ibis,4
181,Idia,4
182,Idus,4
183,Ilex,4
184,Inca,4
185,Inga,4
186,Inia,4
187,Inka,4
188,Inna,4
189,Inti,4
190,Inyo,4
191,Ioba,4
192,Iole,4
193,Iona,4
194,Ione,4
195,Irex,4
196,Iris,4
197,Iris,4
198,Iron,4
199,Irpa,4
200,Irus,4
201,Itea,4
202,Ixia,4
203,Ixia,4
204,Ixos,4
205,Jaya,4
206,Jola,4
207,Josa,4
208,Juga,4
209,Jynx,4
210,Kali,4
211,Kata,4
212,Kima,4
213,Kiwa,4
214,Koma,4
215,Kuma,4
216,Kuna,4
217,Lama,4
218,Lama,4
219,Lanx,4
220,Lara,4
221,Lara,4
222,Leda,4
223,Leia,4
224,Lema,4
225,Lens,4
226,Lens,4
227,Leto,4
228,Liga,4
229,Lile,4
230,Lima,4
231,Liua,4
232,Lius,4
233,Liza,4
234,Loki,4
235,Lola,4
236,Lora,4
237,Loro,4
238,Lota,4
239,Loxa,4
240,Luda,4
241,Luja,4
242,Lynx,4
243,Lype,4
244,Mada,4
245,Mafa,4
246,Mago,4
247,Maia,4
248,Maja,4
249,Maki,4
250,Mara,4
251,Maro,4
252,Maso,4
253,Mata,4
254,Maua,4
255,Mays,4
256,Meda,4
257,Mena,4
258,Mene,4
259,Meru,4
260,Meta,4
261,Mica,4
262,Mico,4
263,Mila,4
264,Mini,4
265,Mino,4
266,Mitu,4
267,Moho,4
268,Mola,4
269,Mona,4
270,Mops,4
271,Mora,4
272,Mosu,4
273,Moto,4
274,Muda,4
275,Mura,4
276,Musa,4
277,Myas,4
278,Myla,4
279,Myra,4
280,Myro,4
281,Myza,4
282,Naia,4
283,Nais,4
284,Nais,4
285,Nais,4
286,Nais,4
287,Naja,4
288,Nala,4
289,Nama,4
290,Naso,4
291,Naya,4
292,Nebo,4
293,Neda,4
294,Neea,4
295,Neon,4
296,Nepa,4
297,Nisa,4
298,Niso,4
299,Nita,4
300,Nixe,4
301,Nola,4
302,Nops,4
303,Nosa,4
304,Noyo,4
305,Nula,4
306,Nypa,4
307,Obus,4
308,Odax,4
309,Oeme,4
310,Oena,4
311,Okea,4
312,Olea,4
313,Olea,4
314,Olea,4
315,Olea,4
316,Olin,4
317,Olla,4
318,Olor,4
319,Oman,4
320,Omma,4
321,Omox,4
322,Omus,4
323,Onyx,4
324,Opas,4
325,Opua,4
326,Orca,4
327,Orca,4
328,Oreo,4
329,Orya,4
330,Oryx,4
331,Otis,4
332,Otus,4
333,Ovia,4
334,Ovis,4
335,Owra,4
336,Oxus,4
337,Oxya,4
338,Paha,4
339,Paro,4
340,Patu,4
341,Paua,4
342,Pavo,4
343,Pela,4
344,Pepo,4
345,Pera,4
346,Pero,4
347,Phos,4
348,Pica,4
349,Pila,4
350,Pipa,4
351,Pisa,4
352,Plea,4
353,Poti,4
354,Psen,4
355,Psoa,4
356,Ptyx,4
357,Puck,4
358,Pudu,4
359,Puma,4
360,Puna,4
361,Pupa,4
362,Pusa,4
363,Pusa,4
364,Puto,4
365,Raja,4
366,Rama,4
367,Rana,4
368,Rena,4
369,Rhea,4
370,Rhoe,4
371,Rhus,4
372,Rita,4
373,Rosa,4
374,Roya,4
375,Roya,4
376,Ruba,4
377,Rusa,4
378,Ruta,4
379,Saba,4
380,Saga,4
381,Saki,4
382,Sapa,4
383,Sasa,4
384,Sava,4
385,Seba,4
386,Seri,4
387,Sida,4
388,Sida,4
389,Sida,4
390,Sida,4
391,Sige,4
392,Silo,4
393,Sira,4
394,Siro,4
395,Sium,4
396,Siwa,4
397,Spea,4
398,Spio,4
399,Suca,4
400,Sula,4
401,Susa,4
402,Susu,4
403,Suta,4
404,Syma,4
405,Taia,4
406,Tama,4
407,Tana,4
408,Tara,4
409,Tara,4
410,Tasa,4
411,Tema,4
412,Tepa,4
413,Teyl,4
414,Thao,4
415,Thea,4
416,Thia,4
417,Thia,4
418,Thoe,4
419,Thor,4
420,Tima,4
421,Tiso,4
422,Toca,4
423,Toia,4
424,Tole,4
425,Toya,4
426,Trox,4
427,Tura,4
428,Tyta,4
429,Tyto,4
430,Uaru,4
431,Ubis,4
432,Ucia,4
433,Ucla,4
434,Ugni,4
435,Ulca,4
436,Ulex,4
437,Ulua,4
438,Ulva,4
439,Unio,4
440,Uria,4
441,Ursa,4
442,Urva,4
443,Uvik,4
444,Vaga,4
445,Vaxi,4
446,Vera,4
447,Vini,4
448,Weda,4
449,Xana,4
450,Xema,4
451,Xosa,4
452,Yoda,4
453,Yola,4
454,Yuen,4
455,Zale,4
456,Zati,4
457,Zaus,4
458,Zeia,4
459,Zema,4
460,Zeus,4
461,Zoma,4
462,Zopa,4
463,Zora,4
464,Zuma,4
